Ei - Vollei;Ei - Vollei;10000;15100;1200;1100;100;100;0;0
Eierkuchen;Eierkuchen;10000;21700;550;700;3200;420;210;0
Eierlikör (20% Vol.);Eierlikör (20% Vol.);10000;28800;400;600;2600;2600;0;1600
Eierpfannkuchen;Eierpfannkuchen;10000;19600;600;1100;1800;240;70;0
Eiersalat mit Mayonnaise;Eiersalat mit Mayonnaise;10000;25700;650;2500;140;100;0;0
Eierschecke;Eierschecke;10000;18500;600;670;2500;1300;20;0
Eigelb;Eigelb;10000;35200;1700;3150;0;0;0;0
Eisbein roh;Eisbein roh;10000;19700;2000;1300;0;0;0;0
Eisbergsalat;Eisbergsalat;10000;700;50;0;70;70;100;0
Eiskaffee;Eiskaffee;10000;6900;100;500;500;500;0;0
Eistee;Eistee;10000;4000;0;0;1000;1000;0;0
Eiweißbrot;Eiweißbrot;10000;23900;2000;1060;1350;280;500;0
Eiweißbrötchen;Eiweißbrötchen;10000;28500;2760;1340;540;140;1640;0
Eiweißpulver;Eiweißpulver;10000;35800;8000;200;500;500;0;0
Eiweiss / Eiklar;Eiweiss / Eiklar;10000;4400;1000;0;100;100;0;0
Eiweißshake mit Milch;Eiweißshake mit Milch;10000;20100;3010;500;900;800;0;0
Emmentaler Käse;Emmentaler Käse;10000;37000;2500;3000;0;0;0;0
Endiviensalat;Endiviensalat;10000;2600;120;20;340;20;310;0
Energydrink;Energydrink;10000;5200;0;0;1300;1300;0;0
Ente;Ente;10000;20400;1500;1600;0;0;0;0
Entenbrust;Entenbrust;10000;15400;1600;1000;0;0;0;0
Entenleber;Entenleber;10000;10400;1700;400;0;0;0;0
Erbsensuppe;Erbsensuppe;10000;10000;480;370;1090;40;210;0
Erdbeeren;Erdbeere;10000;4300;100;100;700;700;100;0
Erdbeerjoghurt 1.5%;Erdbeerjoghurt 1.5%;10000;7900;320;150;1310;1310;0;0
Erdbeerkuchen Biskuitteig;Erdbeerkuchen Biskuitteig;10000;18200;70;380;3500;2200;240;0
Erdnüsse;Erdnuss;10000;58100;2200;4900;700;40;1200;0
Erdnussbutter;Erdnussbutter;10000;63900;2100;5500;1200;800;600;0
Erdnussflips;Erdnussflips;10000;44400;1070;2100;5300;300;0;0
Erdnussmus;Erdnussmus;10000;61800;2900;4900;1200;620;650;0
Erdnussöl;Erdnussöl;10000;90000;0;10000;0;0;0;0
Erythrit;Erythrit;10000;2000;0;0;10000;0;0;0
Espresso;Espresso;10000;800;10;20;150;0;0;0
Essig;Essig;10000;0;0;0;0;0;0;0
Essig Öl Dressing;Essig Öl Dressing;10000;36000;0;4000;0;0;0;0
Estragon frisch;Estragon frisch;10000;5300;300;100;600;0;400;0
Estragon getrocknet;Estragon getrocknet;10000;36900;2300;700;5000;0;700;0
Falafel;Falafel;10000;30400;1250;1150;3200;320;1100;0
Fanta Orange;Fanta Orange;10000;12000;10;920;910;10;0;0
Federweißer;Federweißer;10000;6800;0;0;1000;1000;0;400
Feige;Feige;10000;5600;100;0;1200;1100;180;0
Feldsalat;Feldsalat;10000;1400;210;0;80;70;100;0
Fenchel;Fenchel;10000;3300;240;50;280;40;390;0
Feta Käse;Feta Käse;10000;30500;2000;2500;0;0;0;0
Fischstäbchen;Fischstäbchen;10000;25100;1230;1210;2240;220;150;0
Fladenbrot;Fladenbrot;10000;21900;470;80;4500;200;640;0
Flammkuchen;Flammkuchen;10000;24000;700;1000;3000;300;100;0
Fleischbrühe;Fleischbrühe;10000;1500;60;100;100;30;0;0
Fleischkäse;Fleischkäse;10000;20700;1800;1500;0;0;0;0
Fleischsalat;Fleischsalat;10000;27200;470;2640;400;320;0;0
Fleischwurst;Fleischwurst;10000;28500;1500;2500;0;0;0;0
Flohsamenschalen;Flohsamen;10000;18600;160;20;200;0;8500;0
Flusskrebs;Flusskrebs;10000;6400;1500;40;0;0;0;0
Forelle;Forelle;10000;12100;1900;500;0;0;0;0
Forelle geräuchert;Forelle geräuchert;10000;11600;1900;450;0;0;0;0
Franzbrötchen;Franzbrötchen;10000;33900;490;2190;3000;1900;100;0
Frikadelle;Frikadelle;10000;28200;2000;2000;500;100;90;0
Frischkäse fettreduziert;Frischkäse fettreduziert;10000;14500;1070;1000;300;300;0;0
Frischkäse körnig;Frischkäse körnig;10000;9000;1190;420;110;110;0;0
Frischkäse, Doppelrahm;Frischkäse, Doppelrahm;10000;33400;1070;3090;320;320;0;0
Fruchteis / Sorbet;Fruchteis / Sorbet;10000;11300;100;100;2500;2500;0;0
Früchtemüsli;Früchtemüsli;10000;33300;300;500;6600;1400;600;0
Früchtetee;Früchtetee;10000;0;0;0;0;0;0;0
Fruchtjoghurt 1.5%;Fruchtjoghurt 1.5%;10000;7800;300;150;1310;1310;0;0
Fruchtsaft;Fruchtsaft;10000;4000;0;0;1000;1000;0;0
Fruchtzucker;Fruchtzucker;10000;40000;0;0;10000;10000;0;0
Frühlingsrolle;Frühlingsrolle;10000;12900;400;400;1840;120;190;0
Frühlingszwiebeln;Frühlingszwiebel;10000;4400;190;40;700;220;240;0
Galiamelone;Galiamelone;10000;2600;40;10;570;400;40;0
Gambas;Gambas;10000;8500;2000;60;0;0;0;0
Gans;Gans;10000;16600;1900;1000;0;0;0;0
Gänsebrust;Gänsebrust;10000;14100;2100;630;0;0;0;0
Gänsekeule;Gänsekeule;10000;16900;2100;940;0;0;0;0
Gänseleberpastete;Gänseleberpastete;10000;28000;1600;2400;0;0;0;0
Gänseschmalz;Gänseschmalz;10000;90000;0;10000;0;0;0;0
Garnelen;Garnele;10000;10000;2200;90;110;0;0;0
Geflügelwiener;Geflügelwiener;10000;22500;1400;1800;150;0;30;0
Geflügelwurst;Geflügelwurst;10000;23100;1500;1840;120;50;20;0
Gelatine;Gelatine;10000;6100;120;0;1400;1300;0;0
Gemüsebrühe;Gemüsebrühe;10000;400;0;0;100;60;0;0
Gemüsesaft;Gemüsesaft;10000;2800;0;0;700;200;0;0
Germknödel;Germknödel;10000;26200;390;340;5300;700;210;0
Gerstengras Pulver;Gerstengras Pulver;10000;30400;2800;200;2600;500;3500;0
Gerstenmehl, Vollkorn;Gerstenmehl, Vollkorn;10000;33700;840;190;6800;100;700;0
Gewürzgurken;Gewürzgurke;10000;3000;100;0;600;500;100;0
Gin (40% Vol.);Gin (40% Vol.);10000;22700;0;0;0;0;0;3200
Glasnudeln roh;Glasnudeln roh;10000;34700;20;10;8600;0;50;0
Glühwein;Glühwein;10000;10800;0;0;1400;1400;0;730
Gluten, Weizenkleber;Gluten, Weizenkleber;10000;35300;8000;140;510;190;0;0
Gnocchi;Gnocchi;10000;12200;380;80;2500;200;0;0
Goji Beeren getrocknet;Goji Beere getrocknet;10000;34600;1100;470;5400;5140;2170;0
Gorgonzola;Gorgonzola;10000;37700;2000;3300;0;0;0;0
Götterspeise gekocht;Götterspeise gekocht;10000;2400;0;0;600;600;0;0
Gouda Käse;Gouda Käse;10000;37600;2200;3200;0;0;0;0
Granatapfel;Granatapfel;10000;6800;100;0;1500;1400;200;0
Grapefruit;Grapefruit;10000;3100;100;0;600;600;140;0
Grapefruitsaft;Grapefruitsaft;10000;4700;80;10;1000;700;130;0
Grappa (40% Vol.);Grappa (40% Vol.);10000;22700;0;0;0;0;0;3200
Graubrot;Graubrot;10000;24600;800;200;4600;240;580;0
Graupen;Graupen;10000;33500;970;140;7100;0;0;0
